Iteration, Maximum_Velocity
1156,3.73479
1157,3.73069
1158,3.72574
1159,3.71989
1160,3.7131
1161,3.70535
1162,3.6966
1163,3.68683
1164,3.67604
1165,3.66422
1166,3.65139
1167,3.63757
1168,3.62281
1169,3.62115
1170,3.62017
1171,3.61869
1172,3.6166
1173,3.61384
1174,3.61026
1175,3.60562
1176,3.59974
1177,3.59239
1178,3.58332
1179,3.57227
1180,3.59352
1181,3.61368
1182,3.63018
1183,3.64339
1184,3.65372
1185,3.66148
1186,3.66684
1187,3.67004
1188,3.67131
1189,3.67086
1190,3.66888
1191,3.66552
1192,3.66095
1193,3.65529
1194,3.64867
1195,3.64118
1196,3.63293
1197,3.62399
1198,3.61444
1199,3.60434
1200,3.59375
1201,3.58271
1202,3.57127
1203,3.55946
1204,3.54732
1205,3.53765
1206,3.54026
1207,3.54298
1208,3.54582
1209,3.54887
1210,3.55211
1211,3.55545
1212,3.55889
1213,3.56243
1214,3.56605
1215,3.56975
1216,3.57354
1217,3.5774
1218,3.58134
1219,3.58534
1220,3.58941
1221,3.59353
1222,3.59771
1223,3.60194
1224,3.60621
1225,3.61052
1226,3.61487
1227,3.61924
1228,3.6237
1229,3.62823
1230,3.63278
1231,3.63733
1232,3.64189
1233,3.64643
1234,3.65097
1235,3.65548
1236,3.65997
1237,3.66442
1238,3.66883
1239,3.67319
1240,3.67749
1241,3.68174
1242,3.6859
1243,3.68999
1244,3.69399
1245,3.6979
1246,3.7017
1247,3.70539
1248,3.70896
1249,3.7124
1250,3.71575
1251,3.719
1252,3.7221
1253,3.72505
1254,3.72784
1255,3.73048
1256,3.73295
1257,3.73525
1258,3.7374
1259,3.73938
1260,3.74119
1261,3.74286
1262,3.74437
1263,3.74573
1264,3.74697
1265,3.74808
1266,3.74909
1267,3.75002
1268,3.75087
1269,3.75168
1270,3.75247
1271,3.75325
1272,3.75408
1273,3.75496
1274,3.75594
1275,3.75704
1276,3.75831
1277,3.75977
1278,3.76147
1279,3.76342
1280,3.77226
1281,3.78206
1282,3.7919
1283,3.80177
1284,3.81167
1285,3.82159
1286,3.83153
1287,3.84148
1288,3.85143
1289,3.86137
1290,3.87129
1291,3.88119
1292,3.89105
1293,3.90085
1294,3.91057
1295,3.92021
1296,3.92974
1297,3.93913
1298,3.94836
1299,3.95741
1300,3.96623
1301,3.9748
1302,3.98306
1303,3.99099
1304,3.99852
1305,4.00559
1306,4.01215
1307,4.01825
1308,4.02381
1309,4.02861
1310,4.03256
1311,4.03555
1312,4.03745
1313,4.03814
1314,4.03746
1315,4.03524
1316,4.03131
1317,4.02547
1318,4.01751
1319,4.0072
1320,3.99428
1321,3.97848
1322,3.95952
1323,3.93808
1324,3.92625
1325,3.92829
1326,3.9297
1327,3.93047
1328,3.93057
1329,3.92998
1330,3.92866
1331,3.92659
1332,3.92372
1333,3.92002
1334,3.91543
1335,3.91006
1336,3.90384
1337,3.89657
1338,3.88818
1339,3.87862
1340,3.8678
1341,3.85565
1342,3.84211
1343,3.82708
1344,3.81048
1345,3.79224
1346,3.77226
1347,3.75046
1348,3.72677
1349,3.70109
1350,3.6807
1351,3.67477
1352,3.66742
1353,3.65857
1354,3.64821
1355,3.70435
1356,3.79306
1357,3.87546
1358,3.95174
1359,4.02212
1360,4.08688
1361,4.14631
1362,4.20073
1363,4.25043
1364,4.29574
1365,4.33696
1366,4.37454
1367,4.40874
