Iteration,Mean Rebuild Frequency
1053,12.9818
1054,13
1055,13.0182
1056,13.0364
1057,13.0545
1058,13.0727
1059,13.0909
1060,13.1091
1061,13.1273
1062,13.1455
1063,13.1636
1064,13.1818
1065,13.2
1066,13.2182
1067,13
1068,13.0179
1069,13.0357
1070,13.0536
1071,13.0714
1072,13.0893
1073,13.1071
1074,13.125
1075,13.1429
1076,13.1607
1077,13.1786
1078,13.1964
1079,13.2143
1080,13.2321
1081,13.25
1082,13.0351
1083,13.0526
1084,13.0702
1085,13.0877
1086,13.1053
1087,13.1228
1088,13.1404
1089,13.1579
1090,13.1754
1091,13.193
1092,13.2105
1093,13.2281
1094,13.2456
1095,13.2632
1096,13.2807
1097,13.069
1098,13.0862
1099,13.1034
1100,13.1207
1101,13.1379
1102,13.1552
1103,13.1724
1104,13.1897
1105,13.2069
1106,13.2241
1107,13.2414
1108,13.2586
1109,13.2759
1110,13.2931
1111,13.3103
1112,13.1017
1113,13.1186
1114,13.1356
1115,13.1525
1116,13.1695
1117,13.1864
1118,13.2034
1119,13.2203
1120,13.2373
1121,13.2542
1122,13.2712
1123,13.2881
1124,13.3051
1125,13.322
1126,13.339
1127,13.1333
1128,13.15
1129,13.1667
1130,13.1833
1131,13.2
1132,13.2167
1133,13.2333
1134,13.25
1135,13.2667
1136,13.2833
1137,13.3
1138,13.3167
1139,13.3333
1140,13.35
1141,13.3667
1142,13.1639
1143,13.1803
1144,13.1967
1145,13.2131
1146,13.2295
1147,13.2459
1148,13.2623
1149,13.2787
1150,13.2951
1151,13.3115
1152,13.3279
1153,13.3443
1154,13.3607
1155,13.377
1156,13.3934
1157,13.1935
1158,13.2097
1159,13.2258
1160,13.2419
1161,13.2581
1162,13.2742
1163,13.2903
1164,13.3065
1165,13.3226
1166,13.3387
1167,13.3548
1168,13.371
1169,13.3871
1170,13.4032
1171,13.4194
1172,13.2222
1173,13.2381
1174,13.254
1175,13.2698
1176,13.2857
1177,13.3016
1178,13.3175
1179,13.3333
1180,13.3492
1181,13.3651
1182,13.381
1183,13.3968
1184,13.4127
1185,13.4286
1186,13.4444
1187,13.4603
1188,13.2656
1189,13.2812
1190,13.2969
1191,13.3125
1192,13.3281
1193,13.3438
1194,13.3594
1195,13.375
1196,13.3906
1197,13.4062
1198,13.4219
1199,13.4375
1200,13.4531
1201,13.4688
1202,13.4844
1203,13.5
1204,13.3077
1205,13.3231
1206,13.3385
1207,13.3538
1208,13.3692
1209,13.3846
1210,13.4
1211,13.4154
1212,13.4308
1213,13.4462
1214,13.4615
1215,13.4769
1216,13.4923
1217,13.5077
1218,13.5231
1219,13.5385
1220,13.3485
1221,13.3636
1222,13.3788
1223,13.3939
1224,13.4091
1225,13.4242
1226,13.4394
1227,13.4545
1228,13.4697
1229,13.4848
1230,13.5
1231,13.5152
1232,13.5303
1233,13.5455
1234,13.5606
1235,13.5758
1236,13.3881
1237,13.403
1238,13.4179
1239,13.4328
1240,13.4478
1241,13.4627
1242,13.4776
1243,13.4925
1244,13.5075
1245,13.5224
1246,13.5373
1247,13.5522
1248,13.5672
1249,13.5821
1250,13.597
1251,13.4118
1252,13.4265
1253,13.4412
1254,13.4559
1255,13.4706
1256,13.4853
1257,13.5
1258,13.5147
1259,13.5294
1260,13.5441
1261,13.5588
1262,13.5735
1263,13.5882
1264,13.6029
1265,13.6176
1266,13.4348
1267,13.4493
1268,13.4638
1269,13.4783
1270,13.4928
1271,13.5072
1272,13.5217
1273,13.5362
1274,13.5507
1275,13.5652
1276,13.5797
1277,13.5942
1278,13.6087
1279,13.6232
1280,13.6377
1281,13.4571
1282,13.4714
1283,13.4857
1284,13.5
1285,13.5143
1286,13.5286
1287,13.5429
1288,13.5571
1289,13.5714
1290,13.5857
1291,13.6
1292,13.6143
1293,13.6286
1294,13.6429
1295,13.6571
1296,13.4789
1297,13.493
1298,13.507
1299,13.5211
1300,13.5352
1301,13.5493
1302,13.5634
1303,13.5775
1304,13.5915
1305,13.6056
1306,13.6197
1307,13.6338
1308,13.6479
1309,13.662
1310,13.4861
1311,13.5
1312,13.5139
1313,13.5278
1314,13.5417
1315,13.5556
1316,13.5694
1317,13.5833
1318,13.5972
1319,13.6111
1320,13.625
1321,13.6389
1322,13.6528
1323,13.6667
1324,13.4932
1325,13.5068
1326,13.5205
1327,13.5342
1328,13.5479
1329,13.5616
1330,13.5753
1331,13.589
1332,13.6027
1333,13.6164
1334,13.6301
1335,13.6438
1336,13.6575
1337,13.6712
1338,13.5
1339,13.5135
1340,13.527
1341,13.5405
1342,13.5541
1343,13.5676
1344,13.5811
