Iteration, Estimated
776,185.439
777,185.203
778,184.967
779,184.732
780,184.498
781,184.264
782,184.031
783,183.798
784,183.566
785,183.335
786,183.104
787,182.874
788,182.644
789,182.415
790,182.186
791,181.958
792,181.731
793,181.504
794,181.278
795,181.053
796,180.828
797,180.603
798,180.379
799,180.156
800,179.933
801,179.711
802,179.49
803,179.269
804,179.048
805,178.828
806,178.609
807,178.39
808,178.172
809,177.954
810,177.737
811,177.52
812,177.304
813,177.088
814,176.873
815,176.659
816,176.445
817,176.231
818,176.018
819,175.806
820,175.594
821,175.382
822,175.171
823,174.961
824,174.751
825,174.542
826,174.333
827,174.125
828,173.917
829,173.71
830,173.503
831,173.296
832,173.09
833,172.885
834,172.68
835,172.475
836,172.271
837,172.067
838,171.864
839,171.661
840,171.459
841,171.257
842,171.056
843,170.855
844,170.655
845,170.455
846,170.256
847,170.057
848,169.859
849,169.661
850,169.463
851,169.266
852,169.07
853,168.874
854,168.678
855,168.483
856,168.288
857,168.094
858,167.9
859,167.707
860,167.514
861,167.321
862,167.129
863,166.938
864,166.746
865,166.556
866,166.365
867,166.175
868,165.986
869,165.797
870,165.608
871,165.42
872,165.233
873,165.045
874,164.858
875,164.672
876,164.486
877,164.3
878,164.115
879,163.93
880,163.746
881,163.562
882,163.378
883,163.195
884,163.012
885,162.83
886,162.648
887,162.466
888,162.285
889,162.104
890,161.924
891,161.744
892,161.564
893,161.385
894,161.206
895,161.028
896,160.85
897,160.672
898,160.495
899,160.318
900,160.142
901,159.966
902,159.79
903,159.614
904,159.439
905,159.265
906,159.091
907,158.917
908,158.743
909,158.57
910,158.397
911,158.225
912,158.053
913,157.881
914,157.71
915,157.539
916,157.368
917,157.198
918,157.028
919,156.858
920,156.689
921,156.52
922,156.351
923,156.183
924,156.015
925,155.848
926,155.681
927,155.514
928,155.347
929,155.181
930,155.015
931,154.85
932,154.685
933,154.52
934,154.356
935,154.191
936,154.028
937,153.864
938,153.701
939,153.538
940,153.376
941,153.213
942,153.051
943,152.89
944,152.729
945,152.568
946,152.407
947,152.247
948,152.087
949,151.927
950,151.768
951,151.609
952,151.45
953,151.291
954,151.133
955,150.975
956,150.818
957,150.661
958,150.504
959,150.347
960,150.191
961,150.035
962,149.879
963,149.723
964,149.568
965,149.413
966,149.259
967,149.104
968,148.95
969,148.797
970,148.643
971,148.49
972,148.337
973,148.185
974,148.032
975,147.88
976,147.729
977,147.577
978,147.426
979,147.275
980,147.124
981,146.974
982,146.824
983,146.674
984,146.524
985,146.375
986,146.226
987,146.077
988,145.929
989,145.78
990,145.633
991,145.485
992,145.337
993,145.19
994,145.043
995,144.897
996,144.75
997,144.604
998,144.458
999,144.312
1000,144.167
1001,144.022
1002,143.877
1003,143.732
1004,143.588
1005,143.444
1006,143.3
1007,143.156
1008,143.013
1009,142.869
1010,142.726
1011,142.584
1012,142.441
1013,142.299
1014,142.157
1015,142.015
1016,141.874
1017,141.732
1018,141.591
1019,141.45
1020,141.31
1021,141.17
1022,141.029
1023,140.889
1024,140.75
1025,140.61
1026,140.471
1027,140.332
1028,140.193
1029,140.055
1030,139.917
1031,139.778
1032,139.641
1033,139.503
1034,139.365
1035,139.228
1036,139.091
1037,138.954
1038,138.818
1039,138.681
1040,138.545
1041,138.409
1042,138.274
1043,138.138
1044,138.003
1045,137.868
1046,137.733
1047,137.598
1048,137.464
1049,137.329
1050,137.195
1051,137.061
1052,136.927
1053,136.793
1054,136.66
1055,136.527
1056,136.394
1057,136.261
1058,136.128
1059,135.996
1060,135.863
1061,135.731
1062,135.599
1063,135.468
1064,135.336
1065,135.205
1066,135.074
1067,134.943
1068,134.812
1069,134.682
1070,134.552
1071,134.421
1072,134.292
1073,134.162
1074,134.032
1075,133.903
1076,133.774
1077,133.645
1078,133.516
1079,133.387
1080,133.259
1081,133.13
1082,133.002
1083,132.874
1084,132.747
1085,132.619
1086,132.492
1087,132.365
1088,132.238
1089,132.111
1090,131.984
1091,131.858
1092,131.731
1093,131.605
1094,131.479
1095,131.353
1096,131.228
1097,131.102
1098,130.977
1099,130.852
1100,130.727
1101,130.602
1102,130.478
1103,130.353
1104,130.229
1105,130.105
1106,129.981
1107,129.857
1108,129.734
1109,129.61
1110,129.487
1111,129.364
1112,129.241
1113,129.118
1114,128.996
1115,128.873
1116,128.751
1117,128.629
1118,128.507
1119,128.385
1120,128.263
1121,128.142
1122,128.02
1123,127.899
1124,127.778
1125,127.657
1126,127.537
1127,127.416
1128,127.296
1129,127.175
1130,127.055
1131,126.935
1132,126.816
1133,126.696
1134,126.576
1135,126.457
1136,126.338
1137,126.219
1138,126.1
1139,125.981
1140,125.863
1141,125.744
1142,125.626
1143,125.508
1144,125.39
1145,125.272
1146,125.154
1147,125.037
1148,124.919
1149,124.802
1150,124.685
1151,124.568
1152,124.451
1153,124.335
1154,124.218
1155,124.102
1156,123.985
1157,123.869
1158,123.753
1159,123.637
1160,123.519
1161,123.394
1162,123.27
1163,123.146
1164,123.022
1165,122.898
1166,122.775
1167,122.652
1168,122.528
1169,122.406
1170,122.283
1171,122.16
1172,122.038
1173,121.916
1174,121.794
1175,121.672
1176,121.551
1177,121.43
1178,121.309
1179,121.188
1180,121.067
1181,120.946
1182,120.826
1183,120.706
1184,120.585
1185,120.466
1186,120.346
1187,120.227
1188,120.107
1189,119.988
1190,119.869
1191,119.751
1192,119.632
1193,119.514
1194,119.396
1195,119.278
1196,119.161
1197,119.044
1198,118.926
1199,118.809
1200,118.693
1201,118.576
1202,118.46
1203,118.344
1204,118.228
1205,118.112
1206,117.997
1207,117.881
1208,117.766
1209,117.652
1210,117.537
1211,117.423
1212,117.308
1213,117.194
1214,117.081
1215,116.967
1216,116.854
1217,116.741
1218,116.628
1219,116.515
1220,116.403
1221,116.291
1222,116.179
1223,116.067
1224,115.956
1225,115.844
1226,115.733
1227,115.622
1228,115.512
1229,115.402
1230,115.292
1231,115.182
1232,115.072
1233,114.963
1234,114.854
1235,114.745
1236,114.636
1237,114.528
1238,114.419
1239,114.312
1240,114.204
1241,114.096
1242,113.989
1243,113.882
1244,113.776
1245,113.669
1246,113.563
1247,113.457
1248,113.352
1249,113.247
1250,113.141
1251,113.037
1252,112.932
1253,112.828
1254,112.724
1255,112.62
1256,112.517
1257,112.414
1258,112.311
1259,112.208
1260,112.106
1261,112.004
1262,111.902
1263,111.801
1264,111.7
1265,111.599
1266,111.499
1267,111.399
1268,111.299
1269,111.199
1270,111.1
1271,111.001
1272,110.902
1273,110.804
1274,110.706
1275,110.609
1276,110.511
1277,110.415
1278,110.318
1279,110.222
1280,110.126
1281,110.03
1282,109.935
1283,109.841
1284,109.746
1285,109.652
1286,109.558
1287,109.465
1288,109.372
1289,109.28
1290,109.188
1291,109.096
1292,109.005
1293,108.914
1294,108.823
1295,108.733
1296,108.644
1297,108.554
1298,108.466
1299,108.377
1300,108.289
1301,108.202
1302,108.115
1303,108.029
1304,107.943
1305,107.857
1306,107.772
1307,107.687
1308,107.603
1309,107.52
1310,107.437
1311,107.354
1312,107.272
1313,107.19
1314,107.11
1315,107.029
1316,106.949
1317,106.87
1318,106.791
1319,106.713
1320,106.636
1321,106.559
1322,106.482
1323,106.406
1324,106.331
1325,106.257
1326,106.175
1327,106.082
1328,105.99
1329,105.898
1330,105.806
1331,105.714
1332,105.622
1333,105.531
1334,105.44
1335,105.349
1336,105.258
1337,105.167
1338,105.076
1339,104.986
1340,104.896
1341,104.806
1342,104.716
1343,104.627
1344,104.538
1345,104.448
1346,104.36
1347,104.271
1348,104.182
1349,104.094
1350,104.006
1351,103.918
1352,103.83
1353,103.743
1354,103.656
1355,103.569
1356,103.482
1357,103.396
1358,103.309
1359,103.223
1360,103.137
1361,103.052
1362,102.966
1363,102.881
1364,102.796
1365,102.712
1366,102.627
1367,102.543
1368,102.459
1369,102.376
1370,102.292
1371,102.209
1372,102.126
1373,102.044
1374,101.962
1375,101.88
1376,101.798
1377,101.716
1378,101.635
1379,101.554
1380,101.474
1381,101.393
1382,101.313
1383,101.234
1384,101.154
1385,101.075
1386,100.996
1387,100.918
1388,100.84
1389,100.762
1390,100.684
1391,100.607
1392,100.53
1393,100.453
1394,100.377
1395,100.301
1396,100.226
1397,100.151
1398,100.076
1399,100.001
1400,99.9273
1401,99.8536
1402,99.7803
1403,99.7073
1404,99.6347
1405,99.5626
1406,99.4908
1407,99.4194
1408,99.3484
1409,99.2778
1410,99.2076
1411,99.1378
1412,99.0685
1413,98.9996
1414,98.9311
1415,98.863
1416,98.7955
1417,98.7283
1418,98.6616
1419,98.5954
1420,98.5296
1421,98.4643
1422,98.3995
1423,98.3352
1424,98.2714
1425,98.208
1426,98.1452
1427,98.0829
1428,98.0211
1429,97.9598
1430,97.899
1431,97.8388
1432,97.7791
1433,97.72
1434,97.6614
1435,97.6033
1436,97.5458
1437,97.4889
1438,97.4326
1439,97.3768
1440,97.3217
1441,97.2671
1442,97.2132
1443,97.1599
1444,97.1072
1445,97.0551
1446,97.0037
1447,96.953
1448,96.9029
1449,96.8534
1450,96.8047
1451,96.7566
1452,96.7092
1453,96.6625
1454,96.6165
1455,96.5711
1456,96.5265
1457,96.4826
1458,96.4393
1459,96.3968
1460,96.3551
1461,96.3141
1462,96.2739
1463,96.2344
1464,96.1957
1465,96.1579
1466,96.1208
1467,96.0845
1468,96.0491
1469,96.0145
1470,95.9807
1471,95.9477
1472,95.8822
1473,95.8061
1474,95.7302
1475,95.5731
1476,95.2488
1477,94.9433
1478,94.6572
1479,94.3916
1480,94.1477
1481,93.9266
1482,93.7299
1483,93.5594
1484,93.417
1485,93.3051
1486,93.2265
1487,93.1843
1488,93.1824
1489,93.225
1490,93.3174
1491,93.4656
1492,93.6767
1493,93.9591
1494,94.2927
1495,94.225
1496,94.1578
1497,94.0777
1498,93.9969
1499,93.9164
1500,93.8361
1501,93.756
1502,93.6761
1503,93.5965
1504,93.5171
1505,93.438
1506,93.3591
1507,93.2805
1508,93.2022
1509,93.1241
1510,93.0463
1511,92.9688
1512,92.8915
1513,92.8146
1514,92.738
1515,92.6616
1516,92.5856
1517,92.5099
1518,92.4345
1519,92.3594
1520,92.2846
1521,92.2103
1522,92.1362
1523,92.0625
1524,91.9892
1525,91.9162
1526,91.8436
1527,91.7714
1528,91.6995
1529,91.6281
1530,91.5571
1531,91.4865
1532,91.4162
1533,91.3465
1534,91.2771
1535,91.2082
1536,91.1398
1537,91.0718
1538,91.0042
1539,90.9372
1540,90.8706
1541,90.8045
1542,90.7389
1543,90.6738
1544,90.6093
1545,90.5452
1546,90.4817
1547,90.4188
1548,90.3563
1549,90.2945
1550,90.2332
1551,90.1725
1552,90.1124
1553,90.053
1554,89.9941
1555,89.9358
1556,89.8782
1557,89.8212
1558,89.7649
1559,89.7092
1560,89.6542
1561,89.5999
1562,89.5463
1563,89.4934
1564,89.4412
1565,89.3897
1566,89.339
1567,89.2696
1568,88.7426
1569,88.2561
1570,87.8109
1571,87.4078
1572,87.0476
1573,86.7314
1574,86.4603
1575,86.2358
1576,86.0595
1577,85.9333
1578,85.8595
1579,85.8407
1580,85.88
1581,85.9807
1582,86.147
1583,86.3835
1584,86.6955
1585,87.089
1586,87.5421
1587,87.6614
1588,87.8511
1589,88.1165
1590,88.1561
