Iteration, Estimate
1208,16.4645
1209,16.4513
1210,16.4372
1211,16.4226
1212,16.4077
1213,16.3925
1214,16.3768
1215,16.3609
1216,16.3446
1217,16.328
1218,16.3112
1219,16.2941
1220,16.2767
1221,16.2592
1222,16.2415
1223,16.2236
1224,16.2056
1225,16.1874
1226,16.1692
1227,16.1508
1228,16.1322
1229,16.1133
1230,16.0944
1231,16.0755
1232,16.0566
1233,16.0378
1234,16.0192
1235,16.0006
1236,15.9822
1237,15.964
1238,15.946
1239,15.9283
1240,15.9108
1241,15.8937
1242,15.8768
1243,15.8603
1244,15.8442
1245,15.8286
1246,15.8133
1247,15.7986
1248,15.7843
1249,15.7706
1250,15.7573
1251,15.7444
1252,15.7321
1253,15.7205
1254,15.7094
1255,15.6991
1256,15.6893
1257,15.6803
1258,15.6718
1259,15.6641
1260,15.6569
1261,15.6504
1262,15.6445
1263,15.6392
1264,15.6344
1265,15.63
1266,15.6261
1267,15.6225
1268,15.6191
1269,15.616
1270,15.6129
1271,15.6098
1272,15.6067
1273,15.6032
1274,15.5994
1275,15.5951
1276,15.5902
1277,15.5845
1278,15.578
1279,15.5704
1280,15.5362
1281,15.4986
1282,15.461
1283,15.4234
1284,15.386
1285,15.3486
1286,15.3114
1287,15.2743
1288,15.2374
1289,15.2008
1290,15.1644
1291,15.1283
1292,15.0925
1293,15.0571
1294,15.0221
1295,14.9876
1296,14.9537
1297,14.9205
1298,14.8879
1299,14.8562
1300,14.8253
1301,14.7955
1302,14.7669
1303,14.7396
1304,14.7137
1305,14.6895
1306,14.6671
1307,14.6464
1308,14.6275
1309,14.6113
1310,14.5979
1311,14.5879
1312,14.5814
1313,14.5791
1314,14.5814
1315,14.5889
1316,14.6021
1317,14.6219
1318,14.6489
1319,14.684
1320,14.7283
1321,14.7828
1322,14.8488
1323,14.9242
1324,14.9661
1325,14.9589
1326,14.9539
1327,14.9511
1328,14.9508
1329,14.9529
1330,14.9575
1331,14.9649
1332,14.9751
1333,14.9883
1334,15.0047
1335,15.0239
1336,15.0463
1337,15.0725
1338,15.1029
1339,15.1376
1340,15.1772
1341,15.2218
1342,15.272
1343,15.328
1344,15.3904
1345,15.4597
1346,15.5362
1347,15.6207
1348,15.7137
1349,15.8158
1350,15.8978
1351,15.9219
1352,15.9518
1353,15.988
1354,16.0305
1355,15.8027
1356,15.4565
1357,15.1491
1358,14.876
1359,14.6332
1360,14.4172
1361,14.2249
1362,14.0536
1363,13.9009
1364,13.7648
1365,13.6435
1366,13.5349
1367,13.4377
1368,13.351
1369,13.2739
1370,13.2054
1371,13.1447
1372,13.0908
1373,13.0431
1374,13.0015
1375,12.9653
1376,12.9343
1377,12.9084
1378,12.8876
