Iteration, Estimate
1628,41.5038
1629,41.5008
1630,41.4978
1631,41.4949
1632,41.4919
1633,41.4889
1634,41.486
1635,41.483
1636,41.48
1637,41.4771
1638,41.4741
1639,41.4711
1640,41.4682
1641,41.4652
1642,41.4622
1643,41.4593
1644,41.4563
1645,41.4533
1646,41.4503
1647,41.4474
1648,41.4444
1649,41.4414
1650,41.4385
1651,41.4355
1652,41.4325
1653,41.4295
1654,41.4266
1655,41.4236
1656,41.4206
1657,41.4177
1658,41.4147
1659,41.4117
1660,41.4087
1661,41.4057
1662,41.4028
1663,41.3998
1664,41.3968
1665,41.3938
1666,41.3909
1667,41.3879
1668,41.3849
1669,41.382
1670,41.379
1671,41.376
1672,41.373
1673,41.3701
1674,41.3671
1675,41.3641
1676,41.3612
1677,41.3582
1678,41.3552
1679,41.3523
1680,41.3493
1681,41.3464
1682,41.3434
1683,41.3404
1684,41.3375
1685,41.3345
1686,41.3316
1687,41.3286
1688,41.3257
1689,41.3227
1690,41.3197
1691,41.3168
1692,41.3138
1693,41.3109
1694,41.3079
1695,41.305
1696,41.3021
1697,41.2991
1698,41.2962
1699,41.2932
1700,41.2903
1701,40.0338
1702,40.031
1703,40.0283
1704,40.0255
1705,40.0228
1706,40.02
1707,40.0173
1708,40.0145
1709,40.0118
1710,40.009
1711,40.0063
1712,40.0036
1713,40.0008
1714,39.9981
1715,39.9954
1716,39.9926
1717,39.9899
1718,39.9872
1719,39.9845
1720,39.9818
1721,39.9791
1722,39.9764
1723,39.9737
1724,39.971
1725,39.9683
1726,39.9656
1727,39.9629
1728,39.9602
1729,39.9575
1730,39.9548
1731,39.9522
1732,39.9495
1733,39.9468
1734,39.9442
1735,39.9415
1736,39.9388
1737,39.9362
1738,39.9335
1739,39.9309
1740,39.9283
1741,39.9256
1742,39.923
1743,39.9204
1744,39.9177
1745,39.9151
1746,39.9093
1747,39.8959
1748,39.8827
1749,39.8695
1750,39.8564
1751,39.8434
1752,39.8305
1753,39.8176
1754,39.8049
1755,39.7922
1756,39.7796
1757,39.7671
1758,39.7547
1759,39.7424
1760,39.7301
1761,39.7179
1762,39.7059
1763,39.6939
1764,39.6819
1765,39.6701
1766,39.6583
1767,39.6466
1768,39.635
1769,39.6235
1770,39.612
1771,39.6007
1772,39.5894
1773,39.5782
1774,39.567
1775,39.556
1776,39.545
1777,39.5341
1778,39.5232
1779,39.5125
1780,39.5018
1781,39.4912
1782,39.4807
1783,39.4702
1784,39.4598
1785,39.4495
1786,39.4393
1787,39.4291
1788,39.419
1789,39.409
1790,39.399
1791,39.3892
1792,39.3794
1793,39.3696
1794,39.36
1795,39.3504
1796,39.3408
1797,39.3314
1798,39.322
1799,39.3127
1800,39.3034
1801,38.181
1802,38.1724
1803,38.1639
1804,38.1554
1805,38.147
1806,38.1387
1807,38.1304
1808,38.1222
1809,38.1141
1810,38.106
1811,38.098
1812,38.09
1813,38.0821
1814,38.0743
1815,38.0665
1816,38.0588
1817,38.0512
1818,38.0436
1819,38.0361
1820,38.0286
1821,38.0212
1822,38.0139
1823,38.0066
1824,37.9994
1825,37.9922
1826,37.9851
1827,37.978
1828,37.971
1829,37.9641
1830,37.9572
1831,37.9504
1832,37.9436
1833,37.9369
1834,37.9303
1835,37.9237
1836,37.9171
1837,37.9106
1838,37.9042
1839,37.8978
1840,37.8915
1841,37.8853
1842,37.879
1843,37.8729
1844,37.8668
1845,37.8607
1846,37.8547
1847,37.8488
1848,37.8429
1849,37.8371
1850,37.8313
1851,37.8255
1852,37.8198
1853,37.8142
1854,37.8086
1855,37.8031
1856,37.7976
1857,37.7922
1858,37.7868
1859,37.7815
1860,37.7762
1861,37.7709
1862,37.7658
1863,37.7606
1864,37.7555
1865,37.7505
1866,37.7455
1867,37.7406
1868,37.7357
1869,37.7308
1870,37.726
1871,37.7213
1872,37.7165
1873,37.7119
1874,37.7073
1875,37.7027
1876,37.6982
1877,37.6937
1878,37.6893
1879,37.6849
1880,37.6806
1881,37.6763
1882,37.672
1883,37.6678
1884,37.6636
1885,37.6595
1886,37.6554
1887,37.6514
1888,37.6474
1889,37.6435
1890,37.6396
1891,37.6357
1892,37.6319
1893,37.6281
1894,37.6244
1895,37.6207
1896,37.6171
1897,37.6135
1898,37.6099
1899,37.6064
1900,37.6029
1901,36.6003
1902,36.5971
1903,36.5939
1904,36.5908
1905,36.5877
1906,36.5846
1907,36.5816
1908,36.5786
1909,36.5756
1910,36.5727
1911,36.5698
1912,36.567
1913,36.5642
1914,36.5614
1915,36.5587
1916,36.556
1917,36.5534
